Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
334.0,Jared Butler,24.0,WAS,PG,32.0,0.0,362.0,17.7,0.562,0.233,0.256,4.0,7.9,5.9,38.7,1.6,1.2,12.9,26.0,0.5,0.1,0.6,0.082,2.2,-1.2,1.0,0.3,
334.0,Jared Butler,24.0,PHI,SG,9.0,1.0,140.0,15.9,0.542,0.439,0.228,3.1,14.6,8.6,38.2,1.4,2.2,18.2,24.0,0.1,0.1,0.2,0.06,0.4,-1.4,-0.9,0.0,
335.0,Tosan Evbuomwan,23.0,BRK,SF,21.0,0.0,501.0,10.7,0.529,0.335,0.323,5.5,14.4,9.8,10.4,1.6,1.4,14.2,19.1,-0.1,0.4,0.3,0.028,-3.4,-0.6,-4.1,-0.3,
336.0,Chet Holmgren,22.0,OKC,C,19.0,19.0,500.0,21.6,0.605,0.33,0.395,7.3,26.5,17.1,10.0,1.6,10.6,13.3,23.0,0.7,1.3,2.0,0.196,1.3,2.9,4.1,0.8,
337.0,Josh Okogie,26.0,2TM,SG,32.0,2.0,500.0,16.7,0.581,0.389,0.305,9.2,11.8,10.5,7.2,3.9,2.8,11.7,18.7,0.5,0.6,1.1,0.108,0.1,1.7,1.8,0.5,
337.0,Josh Okogie,26.0,PHO,SG,25.0,1.0,351.0,15.8,0.586,0.368,0.281,10.5,12.1,11.4,5.8,2.9,2.6,11.1,18.1,0.4,0.3,0.7,0.095,0.1,0.2,0.3,0.2,
337.0,Josh Okogie,26.0,CHO,SG,7.0,1.0,149.0,18.9,0.57,0.434,0.358,6.2,11.0,8.5,10.5,6.3,3.3,12.8,19.9,0.1,0.3,0.4,0.139,0.2,5.3,5.5,0.3,
338.0,Gary Harris,30.0,ORL,SG,32.0,2.0,493.0,6.1,0.493,0.766,0.106,3.5,6.0,4.7,4.8,1.8,1.6,10.9,9.8,-0.1,0.6,0.5,0.048,-4.3,0.9,-3.3,-0.2,
339.0,Trendon Watford,24.0,BRK,PF,27.0,0.0,491.0,12.9,0.547,0.278,0.318,4.7,17.1,10.7,18.8,1.8,1.4,16.6,24.1,-0.1,0.5,0.3,0.034,-2.8,-0.6,-3.3,-0.2,
340.0,Ryan Rollins,22.0,MIL,PG,40.0,8.0,490.0,12.8,0.562,0.426,0.142,3.6,10.3,7.1,14.6,2.7,2.5,15.5,18.9,0.1,0.7,0.8,0.075,-2.4,1.3,-1.1,0.1,
341.0,Rob Dillingham,20.0,MIN,PG,40.0,1.0,481.0,11.1,0.513,0.352,0.075,2.8,7.7,5.3,30.0,1.8,0.2,18.9,22.9,-0.2,0.5,0.2,0.023,-2.5,-1.1,-3.6,-0.2,
342.0,Grant Williams,26.0,CHO,PF,16.0,7.0,479.0,11.6,0.596,0.602,0.301,3.9,14.7,9.1,11.3,1.8,2.7,16.7,14.7,0.3,0.5,0.8,0.079,-2.3,0.7,-1.5,0.1,
343.0,Jae'Sean Tate,29.0,HOU,SF,42.0,2.0,478.0,11.5,0.528,0.274,0.347,8.5,12.3,10.3,10.3,2.4,0.6,11.2,13.8,0.5,0.7,1.2,0.12,-3.1,1.6,-1.5,0.1,
344.0,KJ Simpson,22.0,CHO,PG,23.0,4.0,470.0,8.5,0.426,0.42,0.21,6.1,8.9,7.4,19.1,2.0,0.8,14.3,20.1,-0.6,0.3,-0.2,-0.022,-4.5,-0.7,-5.2,-0.4,
345.0,Caleb Houstan,22.0,ORL,SF,41.0,5.0,467.0,5.9,0.496,0.868,0.096,3.0,7.1,4.9,4.9,0.9,0.6,4.0,11.6,0.1,0.4,0.5,0.055,-4.4,-0.8,-5.2,-0.4,
346.0,Karlo Matković,23.0,NOP,PF,27.0,3.0,463.0,13.7,0.611,0.322,0.235,9.2,19.5,14.1,7.9,1.4,5.7,16.5,13.8,0.4,0.3,0.8,0.082,-2.9,0.0,-2.9,-0.1,
347.0,Larry Nance Jr.,32.0,ATL,PF,24.0,3.0,463.0,16.0,0.632,0.49,0.084,5.2,19.3,12.0,11.5,2.0,2.6,9.1,15.6,0.8,0.5,1.2,0.129,1.0,0.6,1.6,0.4,
348.0,Pat Connaughton,32.0,MIL,SG,31.0,0.0,459.0,10.1,0.539,0.534,0.147,4.1,14.6,9.6,14.6,0.6,1.8,13.3,13.5,0.3,0.4,0.7,0.074,-1.9,-0.5,-2.4,0.0,
